parcel_id,address,neighborhood,project_slug,site_slug,site_id,site_engine_site_id,source_rollup_id,address_rollup_id,membership_reason,acres,frontage_street,zoning_code,zoning_overlay,overlay_flags,cra_tier,oz_eligible,soil_summary,topography_summary,current_owner,prior_owner,acquisition_date,conveyance_num,acquisition_price,deed_type,improvement_value_2024,year_built,building_sqft,wrecking_permit_issued,structure_status,tax_status,anomaly_flag,notes,data_snapshot_date
022800030016,COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,5ed1b733-9f25-45ca-9353-4f72763f374b,provisional,0.3700,Colerain Ave,CC-P-B,-B,,Expand,false,"Eden silty clay loam, 15 to 25 percent slopes","873-926 ft, 35% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,0,,,,vacant,exempt_government,,Included in the Colerain-North Bend gateway assemblage.,2026-04-15
022800030017,2563 NORTH BEND RD,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,5f358820-321f-4865-9e23-59097cb04744,anchor,0.1880,North Bend Rd,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","930-943 ft, 15% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,46060,1964,1419,2025-08-25,demo_permitted_2025,exempt_government,,Shared 2563 North Bend address across two legal parcels within one frontage group.,2026-04-15
022800030018,,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,f5219626-b0a8-4ce4-ac6c-a0b3fb78a885,provisional,0.0765,interior,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","931-942 ft, 14% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,,,,,,,,,,vacant,exempt_government,ROW_sliver,Unaddressed CC-P-B sliver parcel; keep in assemblage for boundary continuity.,2026-04-15
022800030019,5460 COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,31d6077e-f9d9-4b81-a14e-2ef041985b64,anchor,0.2060,Colerain Ave,CC-M-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","928-940 ft, 13% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,ALNAJAR KHALID,,380334,,,189220,1957,2402,2025-08-25,demo_permitted_2025,exempt_government,alt_acquisition_path,5460 Colerain commercial anchor with separate auditor conveyance 380334 and adjacent 596000 sale recorded in 2024.,2026-04-15
022800030020,5456 COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,8440517f-1618-477c-a524-c686b48b09f4,anchor,0.1250,Colerain Ave,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","926-938 ft, 11% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,14780,1961,1092,2025-08-25,demo_permitted_2025,exempt_government,,Included in the Colerain-North Bend gateway assemblage.,2026-04-15
022800030033,2563 NORTH BEND RD,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,5f358820-321f-4865-9e23-59097cb04744,inherited,0.1040,North Bend Rd,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","915-931 ft, 11% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,0,,,2025-08-25,demo_permitted_2025,exempt_government,,Shared 2563 North Bend address across two legal parcels within one frontage group.,2026-04-15
022800030034,5430 COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,cefe035a-aed4-49c5-9d77-e72534ffbb59,anchor,0.2390,Colerain Ave,CC-P-B,-B,,Expand,false,"Urban land-Alfic Udarents-Rossmoyne complex, 0 to 12 percent slopes","908-936 ft, 14% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,0,,,,vacant,exempt_government,,Shared 5430 Colerain address across commercial and SF-6-MH parcels.,2026-04-15
022800030035,2565 NORTH BEND RD,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,d8127edb-5e10-45af-9aa9-5cb2509fc79c,anchor,0.1320,North Bend Rd,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","925-931 ft, 6% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,230,2006,1687,,standing_2024,exempt_government,,Included in the Colerain-North Bend gateway assemblage.,2026-04-15
022800030036,,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,a67febc6-1456-4a3a-a465-5dfa184963c2,provisional,0.0179,interior,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","926-930 ft, 8% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,,,,,,,,,,vacant,exempt_government,ROW_sliver,Unaddressed CC-P-B micro-sliver; keep in assemblage for boundary continuity.,2026-04-15
022800030048,5430 COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,7432bf26-5908-465f-9580-4cacbbd45ded,anchor,0.3590,Colerain Ave,SF-6-MH,-MH,,Expand,false,"Eden silty clay loam, 15 to 25 percent slopes","870-923 ft, 40% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,0,,,,vacant,exempt_government,,Shared 5430 Colerain address across commercial and SF-6-MH parcels.,2026-04-15
022800030049,5448 COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,0d623fe3-7109-424c-bc4b-886e3e78fd0a,anchor,0.0680,Colerain Ave,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","925-937 ft, 9% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,710,,,,standing_2024,exempt_government,,Included in the Colerain-North Bend gateway assemblage.,2026-04-15
022800030064,2559 NORTH BEND RD,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,534fb3cd-77ea-49a5-8da6-aea25918bb3e,anchor,0.1980,North Bend Rd,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","911-943 ft, 16% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN REDEVELOPMENT ENTERPRISE,,380334,,,14530,1964,1102,2025-08-25,demo_permitted_2025,exempt_government,alt_acquisition_path,2559 North Bend frontage parcel with separate auditor conveyance 380334 from the 2021 bulk HCLRC set.,2026-04-15
022800030104,5454 COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,dd96e660-4fc6-4410-963c-012e8cea762e,anchor,0.1500,Colerain Ave,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","926-937 ft, 11% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,27600,,1675,2025-08-25,demo_permitted_2025,exempt_government,,Included in the Colerain-North Bend gateway assemblage.,2026-04-15
022800030105,5442 COLERAIN AVE,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,52971fce-95bf-4b59-b213-54144d97245a,anchor,0.2060,Colerain Ave,CC-P-B,-B,,Expand,false,"Urban land-Udorthents complex, 0 to 12 percent slopes","923-937 ft, 10% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,0,,102,,standing_2024,exempt_government,,Included in the Colerain-North Bend gateway assemblage.,2026-04-15
022800030247,NORTH BEND RD,Mount Airy,mt-airy,colerain-north-bend-gateway,,,,534fb3cd-77ea-49a5-8da6-aea25918bb3e,inherited,0.1130,North Bend Rd,CC-P-B,-B,,Expand,false,"Eden silty clay loam, 15 to 25 percent slopes","905-930 ft, 27% mean slope",HAMILTON COUNTY LAND REUTILIZATION CORPORATION,MT AIRY COMMUNITY URBAN R,2021-11-15,286389,0,,0,,,,vacant,exempt_government,,Included in the Colerain-North Bend gateway assemblage.,2026-04-15
